,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
259,Love Lies (with Normani),Khalid,alternative r&b,2018,2020‑01‑04,144,65,71,-6,13,34,202,10,4,80
260,Look Alive (feat. Drake),BlocBoy JB,pop rap,2018,2020‑01‑04,140,58,92,-7,11,60,181,0,27,80
261,Like I Do,David Guetta,dance pop,2018,2020‑01‑04,128,90,64,-4,37,15,203,1,4,72
262,Ligesom Mig,KESI,danish hip hop,2018,2020‑01‑04,98,74,82,-5,25,68,181,6,4,46
263,La Fami,Fouli,danish hip hop,2018,2020‑01‑04,119,69,86,-6,17,85,167,46,5,47
264,LA CRIMINAL,MellemFingaMuzik,danish hip hop,2018,2020‑01‑04,104,72,64,-5,13,58,189,25,8,44
265,Kom Over,KESI,danish hip hop,2018,2020‑01‑04,98,69,49,-5,29,65,196,9,9,56
266,Jackie Chan,Tiësto,big room,2018,2020‑01‑04,128,83,75,-3,6,69,216,37,5,80
267,In My Mind,Dynoro,edm,2018,2020‑01‑04,126,77,69,-5,12,16,185,18,15,85
268,In My Feelings,Drake,canadian hip hop,2018,2020‑01‑04,91,63,84,-6,40,35,218,6,13,84
269,In My Blood,Shawn Mendes,canadian pop,2018,2020‑01‑04,140,71,62,-7,13,49,211,6,7,82
270,I Miss You (feat. Julia Michaels),Clean Bandit,dance pop,2018,2020‑01‑04,105,62,69,-7,10,37,206,30,4,76
271,I Love It (& Lil Pump),Kanye West,chicago rap,2018,2020‑01‑04,104,52,90,-8,26,33,128,1,33,79
272,I Like It,Cardi B,pop,2018,2020‑01‑04,136,73,82,-4,37,65,253,10,13,85
273,IDGAF,Dua Lipa,dance pop,2018,2020‑01‑04,97,54,84,-6,8,51,218,4,9,59
274,Højre Og Venstre (feat. Ericka Jane),Skinz,danish hip hop,2018,2020‑01‑04,83,48,52,-7,23,37,174,22,15,48
275,Heaven,Julia Michaels,dance pop,2018,2020‑01‑04,200,37,55,-9,8,25,192,86,4,76
276,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,2020‑01‑04,105,52,77,-4,13,39,217,18,3,85
277,Happier,Marshmello,brostep,2018,2020‑01‑04,100,79,69,-3,17,67,214,19,5,90
278,God's Plan,Drake,canadian hip hop,2018,2020‑01‑04,77,45,75,-9,55,36,199,3,11,86
279,Glad,Bro,danish hip hop,2018,2020‑01‑04,200,71,59,-6,27,48,208,8,26,49
280,Girls Like You (feat. Cardi B),Maroon 5,pop,2018,2020‑01‑04,125,54,85,-7,13,45,236,57,5,82
281,FRIENDS,Marshmello,brostep,2018,2020‑01‑04,95,88,63,-2,13,53,203,21,5,84
282,Freaky Friday (feat. Chris Brown),Lil Dicky,pop rap,2018,2020‑01‑04,133,60,76,-5,11,76,217,15,22,78
283,For Mig Selv (feat. Gilli),NODE,danish hip hop,2018,2020‑01‑04,110,75,72,-4,8,41,173,13,24,44
284,Flames,David Guetta,dance pop,2018,2020‑01‑04,94,73,61,-4,9,36,195,7,4,76
285,Falling Down - Bonus Track,Lil Peep,emo rap,2018,2020‑01‑04,120,57,67,-6,15,27,196,2,3,83
286,Ekstra,KESI,danish hip hop,2018,2020‑01‑04,144,67,77,-6,10,71,190,9,11,49
287,Eastside (with Halsey & Khalid),benny blanco,pop,2018,2020‑01‑04,89,68,56,-8,12,32,174,56,32,85
288,Don’t Matter To Me (with Michael Jackson),Drake,canadian hip hop,2018,2020‑01‑04,103,32,83,-12,11,14,246,49,6,75
289,Colombiana (feat. Gilli),Sivas,danish hip hop,2018,2020‑01‑04,120,56,80,-7,11,17,199,38,9,39
290,changes,XXXTENTACION,emo rap,2018,2020‑01‑04,65,31,67,-10,10,52,122,88,3,85
291,Carnalismo,NODE,danish hip hop,2018,2020‑01‑04,110,75,83,-6,13,82,180,5,9,37
292,Candy Paint,Post Malone,dfw rap,2018,2020‑01‑04,180,67,66,-6,8,38,228,64,15,81
293,Better Now,Post Malone,dfw rap,2018,2020‑01‑04,145,58,68,-6,14,34,231,33,4,87
294,Better,Khalid,alternative r&b,2018,2020‑01‑04,98,55,60,-10,10,11,229,8,10,81
295,Be Alright,Dean Lewis,australian pop,2018,2020‑01‑04,127,59,55,-6,8,44,196,70,4,84
296,Bad,Christopher,danish pop,2018,2020‑01‑04,96,59,76,-7,51,68,190,7,10,50
297,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,dance pop,2018,2020‑01‑04,102,72,60,-5,12,51,208,9,5,81
298,AMG,MellemFingaMuzik,danish hip hop,2018,2020‑01‑04,98,64,93,-5,6,34,154,1,16,55
299,All The Stars (with SZA),Kendrick Lamar,conscious hip hop,2018,2020‑01‑04,97,63,70,-5,9,55,232,6,6,79
300,2002,Anne-Marie,dance pop,2018,2020‑01‑04,96,68,70,-3,14,60,187,4,12,76
301,ZEZE,Kodak Black,florida rap,2018,2020‑01‑04,98,60,86,-6,9,50,229,5,18,83
302,You Say,Lauren Daigle,ccm,2018,2020‑01‑04,148,63,49,-7,9,8,275,68,3,80
303,Without Me,Halsey,dance pop,2018,2020‑01‑04,136,49,75,-7,9,53,202,30,7,89
304,Whiskey Glasses,Morgan Wallen,contemporary country,2018,2020‑01‑04,150,68,61,-5,12,71,234,37,3,80
305,Wake Up in the Sky,Gucci Mane,atl hip hop,2018,2020‑01‑04,143,58,80,-5,36,37,205,0,5,79
306,Trip,Ella Mai,pop,2018,2020‑01‑04,80,61,48,-6,11,36,214,23,14,79
307,Trampoline,SHAED,electropop,2018,2020‑01‑04,127,41,69,-8,7,54,184,49,3,78
308,Thotiana,Blueface,cali rap,2018,2020‑01‑04,104,38,91,-13,11,39,129,18,27,79
309,This Is It,Scotty McCreery,contemporary country,2018,2020‑01‑04,156,51,56,-7,10,60,231,25,3,69
310,Tequila,Dan + Shay,contemporary country,2018,2020‑01‑04,86,58,49,-6,13,49,197,3,3,77
311,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2018,2020‑01‑04,96,80,84,-4,6,62,213,16,23,84
312,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,melodic rap,2018,2020‑01‑04,93,66,58,-5,11,43,189,2,30,86
313,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2018,2020‑01‑04,90,48,76,-6,7,91,158,56,5,89
314,Speechless,Dan + Shay,contemporary country,2018,2020‑01‑04,136,44,62,-6,24,39,213,36,3,79
315,Someone You Loved,Lewis Capaldi,pop,2018,2020‑01‑04,110,41,50,-6,11,45,182,75,3,85
316,Shallow,Lady Gaga,dance pop,2018,2020‑01‑04,96,39,57,-6,23,32,216,37,3,89
317,Murder On My Mind,YNW Melly,melodic rap,2018,2020‑01‑04,115,73,76,-8,11,74,268,14,5,86
318,Money,Cardi B,pop,2018,2020‑01‑04,130,59,95,-7,11,22,184,1,29,80
319,Mo Bamba,Sheck Wes,rap,2018,2020‑01‑04,146,63,73,-5,25,26,184,19,3,83
320,MIA (feat. Drake),Bad Bunny,latin,2018,2020‑01‑04,97,54,82,-6,10,16,210,1,6,84
321,a lot,21 Savage,atl hip hop,2018,2020‑01‑04,146,64,84,-8,34,27,289,4,9,82
322,Look Back at It,A Boogie Wit da Hoodie,melodic rap,2018,2020‑01‑04,96,59,79,-5,15,54,179,41,4,82
323,Leave Me Alone,Flipp Dinero,melodic rap,2018,2020‑01‑04,150,74,79,-3,18,74,196,11,9,79
324,High Hopes,Panic! At The Disco,baroque pop,2018,2020‑01‑04,82,90,58,-3,6,68,191,19,6,87
325,"Hey Look Ma, I Made It",Panic! At The Disco,baroque pop,2018,2020‑01‑04,108,83,58,-3,12,58,170,1,7,79
326,Going Bad (feat. Drake),Meek Mill,hip hop,2018,2020‑01‑04,86,50,89,-6,25,54,181,26,9,86
327,Girls Like You (feat. Cardi B),Maroon 5,pop,2018,2020‑01‑04,125,54,85,-7,13,45,236,57,5,75
328,Envy Me,Calboy,chicago rap,2018,2020‑01‑04,149,48,56,-8,22,58,120,28,31,76
329,Drip Too Hard (Lil Baby & Gunna),Lil Baby,atl hip hop,2018,2020‑01‑04,113,66,90,-7,53,39,146,9,29,85
330,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,dance pop,2018,2020‑01‑04,144,76,57,-5,40,49,183,10,6,83
331,Close Friends (Lil Baby & Gunna),Lil Baby,atl hip hop,2018,2020‑01‑04,159,58,68,-5,8,70,204,5,38,79
332,breathin,Ariana Grande,dance pop,2018,2020‑01‑04,100,66,57,-5,21,36,198,2,4,79
333,Beautiful (feat. Camila Cabello),Bazzi,pop,2018,2020‑01‑04,100,72,64,-5,11,25,180,35,3,82
334,Beautiful Crazy,Luke Combs,contemporary country,2018,2020‑01‑04,103,40,55,-7,9,38,193,68,3,81
335,All To Myself,Dan + Shay,contemporary country,2018,2020‑01‑04,95,78,65,-5,14,62,170,23,3,69
336,Act Up,City Girls,pop,2018,2020‑01‑04,97,64,94,-5,11,31,158,2,19,79
337,You Need To Calm Down,Taylor Swift,pop,2019,2020‑01‑04,85,67,77,-6,6,71,171,1,6,86
338,Wow.,Post Malone,dfw rap,2019,2020‑01‑04,100,54,83,-7,10,39,150,14,21,89
339,Worth It,YK Osiris,deep pop r&b,2019,2020‑01‑04,124,53,76,-4,8,42,189,47,6,77
340,when the party's over,Billie Eilish,electropop,2019,2020‑01‑04,83,11,37,-14,9,20,196,98,10,90
341,Walk Me Home,P!nk,dance pop,2019,2020‑01‑04,88,45,65,-6,18,43,177,5,4,75
342,Truth Hurts,Lizzo,escape room,2019,2020‑01‑04,158,62,72,-3,12,41,173,11,11,89
343,"thank u, next",Ariana Grande,dance pop,2019,2020‑01‑04,107,65,72,-6,10,41,207,23,7,88
344,Talk You Out Of It,Florida Georgia Line,contemporary country,2019,2020‑01‑04,120,71,65,-5,8,56,203,58,4,74
345,Talk,Khalid,alternative r&b,2019,2020‑01‑04,136,40,90,-8,9,34,197,5,12,81
346,Suge,DaBaby,nc hip hop,2019,2020‑01‑04,75,66,88,-6,13,84,163,6,43,87
347,Sucker,Jonas Brothers,boy band,2019,2020‑01‑04,138,73,84,-5,11,95,181,4,6,87
348,Shotta Flow,NLE Choppa,memphis hip hop,2019,2020‑01‑04,120,43,89,-7,13,45,160,8,59,77
349,Señorita,Shawn Mendes,canadian pop,2019,2020‑01‑04,117,54,76,-6,9,75,191,4,3,94
350,Ransom,Lil Tecca,melodic rap,2019,2020‑01‑04,180,64,75,-6,7,23,131,2,29,91
351,Pure Water (with Migos),Mustard,cali rap,2019,2020‑01‑04,202,56,68,-6,34,14,192,17,13,84
352,Pop Out (feat. Lil Tjay),Polo G,chicago rap,2019,2020‑01‑04,168,64,77,-7,7,26,167,15,47,85
353,Please Me,Cardi B,pop,2019,2020‑01‑04,134,57,75,-7,8,65,201,6,8,80
354,Panini,Lil Nas X,country rap,2019,2020‑01‑04,154,59,70,-6,12,48,115,34,8,85
355,Only Human,Jonas Brothers,boy band,2019,2020‑01‑04,94,50,80,-6,6,87,183,11,7,87
356,One Thing Right,Marshmello,brostep,2019,2020‑01‑04,88,62,66,-2,58,44,182,7,5,86
357,Old Town Road - Remix,Lil Nas X,country rap,2019,2020‑01‑04,136,62,88,-6,11,64,157,5,10,91
358,No Guidance (feat. Drake),Chris Brown,dance pop,2019,2020‑01‑04,93,45,70,-7,16,14,261,12,15,80
359,My Type,Saweetie,cali rap,2019,2020‑01‑04,105,81,90,-6,7,59,126,0,26,81
360,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,2019,2020‑01‑04,101,50,83,-4,12,10,205,10,5,89
361,MIDDLE CHILD,J. Cole,conscious hip hop,2019,2020‑01‑04,124,36,84,-12,27,46,214,15,28,87
362,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,pop,2019,2020‑01‑04,182,83,61,-4,12,73,193,3,6,85
363,Look What God Gave Her,Thomas Rhett,contemporary country,2019,2020‑01‑04,113,85,74,-4,18,88,169,3,3,75
364,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,2019,2020‑01‑04,98,59,80,-7,13,18,200,2,15,84
365,Knockin' Boots,Luke Bryan,contemporary country,2019,2020‑01‑04,132,68,74,-4,33,63,199,13,21,76
366,If I Can't Have You,Shawn Mendes,canadian pop,2019,2020‑01‑04,124,81,69,-4,15,86,191,52,6,85
367,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,2020‑01‑04,102,68,80,-5,9,84,220,9,4,91
368,How Do You Sleep?,Sam Smith,pop,2019,2020‑01‑04,111,68,48,-5,8,35,202,15,9,92
369,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,houston rap,2019,2020‑01‑04,99,81,87,-5,21,57,199,0,16,80
370,Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,2020‑01‑04,150,65,55,-4,10,16,175,46,8,91
371,Good as You,Kane Brown,contemporary country,2019,2020‑01‑04,154,52,63,-6,14,77,192,40,4,76
372,God's Country,Blake Shelton,contemporary country,2019,2020‑01‑04,140,75,54,-5,12,22,205,6,4,77
373,The Git Up,Blanco Brown,country rap,2019,2020‑01‑04,98,68,85,-9,27,81,201,7,11,81
374,Dancing With A Stranger (with Normani),Sam Smith,pop,2019,2020‑01‑04,103,52,74,-8,22,35,171,45,7,88
375,Con Calma - Remix,Daddy Yankee,latin,2019,2020‑01‑04,94,87,74,-3,4,61,181,17,5,75
376,Clout (feat. Cardi B),Offset,atl hip hop,2019,2020‑01‑04,140,62,92,-7,12,42,206,23,10,79
377,Circles,Post Malone,dfw rap,2019,2020‑01‑04,120,76,70,-3,9,55,215,19,4,98
378,Cash Shit (feat. DaBaby),Megan Thee Stallion,houston rap,2019,2020‑01‑04,130,64,92,-5,9,55,193,2,42,81
379,bury a friend,Billie Eilish,electropop,2019,2020‑01‑04,120,39,91,-15,11,20,193,74,33,88
380,"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,2019,2020‑01‑04,170,55,73,-5,11,34,190,4,9,85
381,Beer Never Broke My Heart,Luke Combs,contemporary country,2019,2020‑01‑04,77,86,54,-4,9,64,187,1,5,79
382,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,2020‑01‑04,93,65,64,-8,8,55,198,12,19,91
383,bad guy,Billie Eilish,electropop,2019,2020‑01‑04,135,43,70,-11,10,56,194,33,38,96
384,Baby,Quality Control,hip hop,2019,2020‑01‑04,108,46,97,-7,15,46,142,10,37,80
385,7 rings,Ariana Grande,dance pop,2019,2020‑01‑04,140,32,78,-11,9,33,179,59,33,91
